model,split,accuracy,macro_f1,num.trees,mtry,min.node.size,holdout_subject
ranger_rf_loso,loso_subj_104,0.9156154849934754,0.920742496381221,400,70,5,104
ranger_rf_loso,loso_subj_106,0.8026580749093838,0.8058827222609692,400,70,5,106
ranger_rf_loso,loso_subj_107,0.8735930735930736,0.8341848403231494,400,70,5,107
ranger_rf_loso,loso_subj_108,0.7124760076775432,0.7961329625153852,400,70,5,108
ranger_rf_loso,loso_subj_101,0.5513491743858236,0.6441066403899681,400,70,10,101
ranger_rf_loso,loso_subj_103,0.7006960556844548,0.6801950650228669,400,70,10,103
ranger_rf_loso,loso_subj_104,0.9047411918225315,0.9103716515045188,400,70,10,104
ranger_rf_loso,loso_subj_106,0.8034635521546516,0.8013580067842471,400,70,10,106
ranger_rf_loso,loso_subj_107,0.8658008658008658,0.8234296479206626,400,70,10,107
ranger_rf_loso,loso_subj_108,0.708637236084453,0.7871593870991505,400,70,10,108
